C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-01,59 ST,NQR456,BMT,05/14/2016,16:00:00,REGULAR,0005197326,0001141623                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,05/14/2016,20:00:00,REGULAR,0005197661,0001141668                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,05/15/2016,00:00:00,REGULAR,0005197815,0001141695                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,05/15/2016,04:00:00,REGULAR,0005197845,0001141701                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,05/15/2016,08:00:00,REGULAR,0005197852,0001141714                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,05/15/2016,12:00:00,REGULAR,0005197927,0001141755                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,05/15/2016,16:00:00,REGULAR,0005198148,0001141802                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,05/15/2016,20:00:00,REGULAR,0005198395,0001141850                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,05/16/2016,00:00:00,REGULAR,0005198514,0001141867                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,05/16/2016,04:00:00,REGULAR,0005198522,0001141867                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,05/16/2016,08:00:00,REGULAR,0005198566,0001141906                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,05/16/2016,12:00:00,REGULAR,0005198748,0001142036                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,05/16/2016,16:00:00,REGULAR,0005198994,0001142093                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,05/16/2016,20:00:00,REGULAR,0005199740,0001142162                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,05/17/2016,00:00:00,REGULAR,0005199943,0001142181                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,05/17/2016,04:00:00,REGULAR,0005199953,0001142182                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,05/17/2016,07:42:01,REGULAR,0005199978,0001142211                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,05/17/2016,08:00:00,REGULAR,0005199991,0001142222                                             
