     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,04/28/2018-05/04/2018,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,NICE 2-T,CUNY-120,CUNY-60,                                                                   
R001,WHITEHALL STREET              ,00064922,00002905,00000415,00001231,00000297,00041065,00040457,00000000,00000000,00000000,00000451,00001095,00000881,00000453,00006351,00002067,00000834,00000000,00001927,00000000,00000000,00000000,00003566,00000000,00000693,00000000,                                                                                                    
R003,CYPRESS HILLS                 ,00003118,00000190,00000019,00000027,00000001,00002628,00001369,00000000,00000000,00000000,00000003,00000015,00000091,00000007,00000098,00000022,00000027,00000000,00000034,00000000,00000000,00000000,00000904,00000000,00000071,00000000,                                                                                                    
R004,75TH STREET & ELDERTS LANE    ,00007432,00000430,00000059,00000132,00000000,00005166,00003931,00000000,00000000,00000000,00000001,00000067,00000209,00000000,00000356,00000035,00000050,00000000,00000063,00000000,00000000,00000000,00003358,00000000,00000098,00000000,                                                                                                    
R005,85TH STREET & FOREST PKWAY    ,00008506,00000679,00000053,00000241,00000000,00005909,00004556,00000000,00000000,00000000,00000006,00000064,00000269,00000000,00000311,00000093,00000067,00000000,00000043,00000000,00000000,00000000,00001985,00000000,00000198,00000000,                                                                                                    
R006,WOODHAVEN BOULEVARD           ,00008434,00000637,00000066,00000228,00000001,00008170,00005413,00000000,00000000,00000000,00000017,00000080,00000232,00000012,00000376,00000086,00000081,00000000,00000091,00000000,00000000,00000000,00002108,00000000,00000160,00000000,                                                                                                    
R007,104TH STREET                  ,00005142,00000289,00000023,00000091,00000003,00003562,00002611,00000000,00000000,00000000,00000000,00000030,00000109,00000000,00000153,00000044,00000019,00000000,00000045,00000000,00000000,00000000,00001202,00000000,00000096,00000000,                                                                                                    
R008,111TH STREET                  ,00005897,00000337,00000041,00000099,00000001,00004266,00002775,00000000,00000000,00000000,00000003,00000040,00000178,00000001,00000191,00000055,00000033,00000000,00000043,00000000,00000000,00000000,00001866,00000000,00000104,00000000,                                                                                                    
R009,121ST STREET                  ,00002504,00000182,00000017,00000056,00000001,00001933,00001380,00000000,00000000,00000000,00000000,00000045,00000106,00000000,00000105,00000039,00000013,00000000,00000026,00000000,00000000,00000000,00000357,00000000,00000043,00000000,                                                                                                    
R010,42ND STREET & 8TH AVENUE      ,00089309,00005227,00000492,00001156,00000149,00056136,00051595,00000000,00000000,00000000,00000282,00000926,00001206,00000120,00005651,00002160,00001341,00000000,00002994,00000000,00000000,00000000,00007592,00000000,00000571,00000000,                                                                                                    
R011,42ND STREET & 8TH AVENUE      ,00232774,00011271,00000623,00001734,00000110,00053420,00068429,00000000,00000000,00000000,00000203,00002918,00005312,00000083,00006887,00006930,00002044,00000000,00003482,00000000,00000001,00000000,00002814,00000000,00000431,00000000,                                                                                                    
R012,34TH STREET & 8TH AVENUE      ,00192435,00009040,00000606,00001635,00003534,00046537,00067158,00000000,00000000,00000000,00000734,00002296,00002953,00004185,00007245,00007745,00002004,00000000,00003554,00000000,00000000,00000000,00003451,00000000,00000518,00000000,                                                                                                    
R013,34TH STREET & 8TH AVENUE      ,00052028,00002418,00000217,00000692,00000809,00021874,00030600,00000000,00000000,00000000,00000327,00000899,00000471,00001336,00003417,00002094,00000853,00000000,00001191,00000000,00000000,00000000,00001083,00000000,00000224,00000000,                                                                                                    
R014,FULTON STREET                 ,00175298,00005834,00000554,00001209,00000988,00067607,00088579,00000000,00000000,00000000,00000637,00002897,00001186,00001567,00013260,00005428,00002510,00000000,00003529,00000000,00000000,00000000,00006949,00000000,00001718,00000000,                                                                                                    
R015,FIFTH AVENUE                  ,00073036,00003298,00000145,00000486,00000922,00020172,00031468,00000000,00000000,00000000,00000280,00002130,00000419,00001118,00005286,00004116,00000947,00000000,00001521,00000000,00000000,00000000,00000484,00000000,00000187,00000000,                                                                                                    
R016,LEXINGTON AVENUE              ,00017403,00000938,00000061,00000173,00000090,00006113,00010891,00000000,00000000,00000000,00000087,00000413,00000112,00000106,00001523,00000827,00000303,00000000,00000266,00000000,00000000,00000000,00000297,00000000,00000067,00000000,                                                                                                    
R017,LEXINGTON AVENUE              ,00090933,00006098,00000293,00000975,00000755,00027501,00052227,00000000,00000000,00000000,00000241,00002086,00001039,00000948,00006571,00004281,00001529,00000000,00001759,00000000,00000000,00000000,00004325,00000000,00000218,00000000,                                                                                                    
R018,ROOSEVELT AVE/JACKSON HTS     ,00089769,00008290,00001433,00003504,00000029,00076448,00102854,00000000,00000000,00000000,00000105,00000677,00002410,00000043,00007156,00001072,00001600,00000000,00001130,00000000,00000000,00000000,00009941,00000000,00001409,00000000,                                                                                                    
R019,179TH STREET & HILLSIDE AVE   ,00030145,00002241,00000449,00001085,00000008,00021776,00026822,00000000,00000000,00000000,00000034,00000621,00001071,00000014,00002886,00000551,00000284,00000000,00000156,00000000,00000000,00000000,00004383,00000000,00000746,00000000,                                                                                                    
R020,47-50 STREETS/ROCKEFELLER     ,00140022,00008710,00000558,00001552,00000654,00060422,00087826,00000000,00000000,00000000,00000564,00004198,00001336,00000705,00015680,00005647,00002465,00000000,00002724,00000000,00000000,00000000,00002655,00000000,00000361,00000000,                                                                                                    
R021,42ND STREET & 6TH AVENUE      ,00093523,00005008,00000451,00001243,00000147,00042814,00074751,00000000,00000001,00000000,00000395,00002823,00000840,00000133,00011273,00003652,00002044,00000000,00001707,00000000,00000000,00000000,00002155,00000000,00000392,00000000,                                                                                                    
R022,34TH STREET & 6TH AVENUE      ,00183486,00010396,00000947,00002416,00000825,00095731,00122909,00000000,00000000,00000000,00001605,00002702,00002739,00000827,00015068,00005098,00002784,00000000,00003781,00000000,00000000,00000000,00004869,00000000,00000981,00000000,                                                                                                    
R023,34TH STREET & 6TH AVENUE      ,00138668,00007337,00000617,00001655,00000565,00046393,00085368,00000000,00000000,00000000,00000303,00002910,00001581,00000672,00009445,00005093,00002324,00000000,00001857,00000000,00000000,00000000,00002882,00000000,00000377,00000000,                                                                                                    
R024,SUTPHIN BOULEVARD             ,00044788,00002788,00000531,00000847,00000375,00038769,00022194,00000000,00000000,00000000,00000034,00000322,00001376,00000386,00002049,00000812,00000341,00000000,00012933,00000000,00000000,00000000,00002991,00000000,00000664,00000000,                                                                                                    
R025,JAMAICA CENTER-PARSONS BLVD   ,00051509,00002552,00000950,00001711,00000021,00059141,00036101,00000000,00000000,00000000,00000071,00000357,00001957,00000023,00004683,00000596,00000366,00000000,00000466,00000000,00000001,00000000,00008037,00000000,00001738,00000000,                                                                                                    
R027,WALL STREET                   ,00054083,00002874,00000149,00000498,00001203,00012918,00035016,00000000,00000000,00000000,00000163,00001169,00000313,00001819,00005022,00002558,00001042,00000000,00000637,00000000,00000000,00000000,00001526,00000000,00000063,00000000,                                                                                                    
R028,FULTON & WILLIAM STREETS      ,00063467,00004111,00000331,00001094,00000469,00025730,00046698,00000000,00000000,00000000,00000162,00000973,00000598,00000640,00007824,00002138,00001218,00000000,00001312,00000000,00000000,00000000,00003060,00000000,00000233,00000000,                                                                                                    
R029,PARK PLACE                    ,00134981,00006468,00000437,00001443,00000973,00048233,00072008,00000000,00000000,00000000,00001644,00002385,00001452,00001483,00009802,00004386,00002326,00000000,00002924,00000000,00000000,00000000,00007242,00000000,00005298,00000000,                                                                                                    
R030,CHAMBERS STREET               ,00048108,00003353,00000256,00000704,00000531,00018728,00031528,00000000,00000000,00000000,00000173,00000857,00000580,00000911,00004165,00002089,00000947,00000000,00000708,00000000,00000000,00000000,00010475,00000000,00003934,00000000,                                                                                                    
R031,34TH STREET & 7TH AVENUE      ,00093109,00005781,00000412,00000997,00001560,00030560,00037662,00000000,00000000,00000000,00000322,00001354,00001172,00002588,00005123,00003922,00001123,00000000,00001221,00000000,00000000,00000000,00002506,00000000,00000410,00000000,                                                                                                    
