     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,04/28/2018-05/04/2018,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,NICE 2-T,CUNY-120,CUNY-60,                                                                   
R032,42ND STREET/TIMES SQUARE      ,00095670,00005268,00000406,00001250,00000204,00039702,00075046,00000000,00000000,00000000,00000378,00002025,00000729,00000150,00009085,00003737,00002101,00000000,00001306,00000000,00000000,00000000,00001412,00000000,00000307,00000000,                                                                                                    
R033,42ND STREET/TIMES SQUARE      ,00164297,00009357,00000751,00001805,00000522,00094197,00080628,00000000,00000000,00000000,00000688,00002319,00002795,00000496,00012012,00004406,00002266,00000000,00004031,00000000,00000000,00000000,00006520,00000000,00001023,00000000,                                                                                                    
R034,125TH STREET & BROADWAY       ,00016049,00001650,00000142,00000365,00000034,00010718,00013139,00000000,00000000,00000000,00000037,00000120,00000475,00000045,00001164,00000406,00000280,00000000,00000312,00000000,00000000,00000000,00002262,00000000,00000152,00000000,                                                                                                    
R035,168TH STREET & BROADWAY       ,00056290,00005101,00000628,00000978,00000106,00037474,00047500,00000000,00000000,00000000,00000115,00000461,00001823,00000111,00003984,00001462,00001367,00000000,00000724,00000000,00000000,00000000,00006829,00000000,00000441,00000000,                                                                                                    
R036,DYCKMAN STREET                ,00010986,00001430,00000168,00000313,00000002,00011030,00007483,00000000,00000000,00000000,00000014,00000043,00000826,00000000,00000728,00000074,00000131,00000000,00000080,00000000,00000000,00000000,00003811,00000000,00000248,00000000,                                                                                                    
R037,207TH STREET                  ,00007206,00000788,00000199,00000178,00000003,00011140,00006301,00000000,00000000,00000000,00000015,00000018,00000394,00000010,00000567,00000046,00000087,00000000,00000065,00000000,00000000,00000000,00002589,00000000,00000225,00000000,                                                                                                    
R038,215TH STREET                  ,00003460,00000391,00000028,00000109,00000005,00002016,00002498,00000000,00000000,00000000,00000007,00000041,00000103,00000002,00000243,00000093,00000080,00000000,00000039,00000000,00000000,00000000,00000610,00000000,00000054,00000000,                                                                                                    
R039,225TH STREET                  ,00009030,00000803,00000106,00000128,00000045,00007551,00005166,00000000,00000000,00000000,00000009,00000042,00000359,00000040,00000563,00000110,00000137,00000000,00000062,00000000,00000000,00000000,00002727,00000000,00000189,00000000,                                                                                                    
R040,231ST STREET                  ,00013520,00001812,00000273,00000596,00000008,00011750,00011173,00000000,00000000,00000000,00000051,00000121,00000792,00000007,00001351,00000227,00000195,00000000,00000076,00000000,00000000,00000000,00002593,00000000,00000232,00000000,                                                                                                    
R041,BOWLING GREEN & BATTERY PL    ,00044480,00002812,00000339,00000746,00000580,00022366,00033100,00000000,00000000,00000000,00002098,00000878,00000544,00000916,00005307,00001664,00000726,00000000,00000713,00000000,00000000,00000000,00003745,00000000,00000338,00000000,                                                                                                    
R042,BOWLING GREEN & BROADWAY      ,00008613,00000379,00000050,00000104,00000083,00008668,00004802,00000000,00000000,00000000,00000144,00000107,00000060,00000135,00000592,00000254,00000057,00000000,00000292,00000000,00000000,00000000,00000533,00000000,00000097,00000000,                                                                                                    
R043,WALL STREET                   ,00046765,00002777,00000190,00000397,00000440,00017389,00032201,00000001,00000000,00000000,00000904,00000867,00000372,00000881,00003897,00001821,00000785,00000000,00000662,00000000,00000000,00000000,00002040,00000000,00000137,00000000,                                                                                                    
R044,BROOKLYN BRIDGE               ,00075184,00005531,00000357,00001254,00000287,00036553,00046017,00000000,00000000,00000000,00000389,00001005,00000866,00000781,00006257,00002158,00001218,00000000,00001594,00000000,00000000,00000000,00005782,00000000,00001520,00000000,                                                                                                    
R045,42ND STREET & GRAND CENTRAL   ,00071973,00004273,00000161,00000375,00001642,00012641,00025609,00000000,00000000,00000000,00000211,00001088,00000363,00002165,00003589,00003611,00000851,00000000,00000673,00000000,00000000,00000000,00000746,00000000,00000125,00000000,                                                                                                    
R046,42ND STREET & GRAND CENTRAL   ,00215997,00010745,00000617,00001286,00002990,00062017,00092615,00000000,00000000,00000001,00000695,00002958,00002650,00003995,00012891,00007960,00002736,00000000,00003325,00000000,00000000,00000000,00002396,00000000,00000551,00000000,                                                                                                    
R047,42ND STREET & GRAND CENTRAL   ,00099217,00005462,00000337,00000808,00001085,00030012,00067138,00000000,00000000,00000000,00000519,00002311,00000483,00001877,00010174,00004655,00001690,00000000,00001152,00000000,00000000,00000000,00001578,00000000,00000303,00000000,                                                                                                    
R048,42ND STREET & 3RD AVENUE      ,00031146,00001464,00000067,00000224,00000444,00006920,00019834,00000000,00000000,00000000,00000065,00000698,00000119,00000383,00002178,00001502,00000540,00000000,00000267,00000000,00000000,00000000,00000494,00000000,00000055,00000000,                                                                                                    
R049,51ST STREET & LEXINGTON AVE   ,00050410,00003074,00000210,00000497,00000107,00022450,00031450,00000000,00000000,00000000,00000302,00001147,00000345,00000113,00005215,00002025,00000833,00000000,00001237,00000000,00000000,00000000,00000851,00000000,00000156,00000000,                                                                                                    
R050,59TH STREET & LEXINGTON AVE   ,00052064,00004187,00000260,00000779,00000234,00023244,00039189,00000000,00000000,00000000,00000313,00001276,00000686,00000408,00005752,00002285,00000981,00000000,00000743,00000000,00000000,00000000,00001684,00000000,00000187,00000000,                                                                                                    
R051,59TH STREET & LEXINGTON AVE   ,00064049,00005174,00000435,00001064,00000128,00041737,00052870,00000000,00000000,00000000,00000282,00001121,00000620,00000265,00006942,00002161,00001365,00000000,00000786,00000000,00000000,00000000,00003984,00000000,00000388,00000000,                                                                                                    
R052,WOODLAWN ROAD                 ,00009300,00000670,00000231,00000453,00000006,00010624,00006324,00000000,00000000,00000000,00000031,00000051,00000705,00000004,00000665,00000102,00000036,00000000,00000044,00000000,00000000,00000000,00001247,00000000,00000326,00000000,                                                                                                    
R053,149TH STREET & 3RD AVENUE     ,00035703,00002299,00000673,00001042,00000023,00044188,00021759,00000000,00000000,00000000,00000050,00000185,00001793,00000006,00003084,00000196,00000238,00000000,00000184,00000000,00000000,00000000,00009621,00000000,00001030,00000000,                                                                                                    
R054,FIFTH AVENUE & 42ND STREET    ,00027543,00001554,00000125,00000345,00000160,00011902,00020510,00000000,00000000,00000000,00000137,00000671,00000276,00000091,00002710,00000982,00000558,00000000,00000409,00000000,00000000,00000000,00000558,00000000,00000101,00000000,                                                                                                    
R055,MAIN STREET                   ,00083166,00009661,00001017,00005437,00000039,00056935,00099436,00000000,00000000,00000000,00000146,00000672,00002903,00000040,00004778,00000943,00000634,00000000,00000751,00000000,00000000,00000000,00011369,00000000,00002011,00000000,                                                                                                    
R056,NEVINS STREET                 ,00021188,00001850,00000301,00000516,00000016,00014201,00015609,00000000,00000000,00000000,00000112,00000174,00000613,00000032,00002404,00000407,00000394,00000000,00000251,00000000,00000000,00000000,00004034,00000000,00000211,00000000,                                                                                                    
R057,BARCLAYS CENTER               ,00094641,00006679,00000918,00001829,00001852,00045836,00067679,00000000,00000000,00000000,00000166,00001005,00001683,00002369,00008443,00003251,00001742,00000000,00001468,00000000,00000000,00000000,00018839,00000000,00000809,00000000,                                                                                                    
R058,BERGEN STREET                 ,00006450,00000577,00000047,00000171,00000003,00003190,00007488,00000000,00000000,00000000,00000017,00000124,00000094,00000005,00001245,00000253,00000232,00000000,00000103,00000000,00000000,00000000,00000818,00000000,00000028,00000000,                                                                                                    
R059,GRAND ARMY PLAZA              ,00014188,00002352,00000118,00000409,00000011,00006160,00013762,00000000,00000000,00000000,00000023,00000286,00000390,00000013,00002175,00000521,00000480,00000000,00000210,00000000,00000000,00000000,00002687,00000000,00000055,00000000,                                                                                                    
R060,EASTERN PARKWAY               ,00016409,00001983,00000134,00000353,00000021,00007590,00011705,00000000,00000000,00000000,00000037,00000186,00000388,00000007,00001801,00000387,00000346,00000000,00000433,00000000,00000000,00000000,00001407,00000000,00000095,00000000,                                                                                                    
R061,NOSTRAND AVENUE               ,00006578,00000561,00000118,00000166,00000006,00005965,00006478,00000000,00000000,00000000,00000004,00000043,00000252,00000010,00000855,00000097,00000135,00000000,00000059,00000000,00000000,00000000,00001960,00000000,00000188,00000000,                                                                                                    
R062,UTICA AVENUE                  ,00047306,00003240,00001146,00001537,00000013,00045152,00034744,00000000,00000000,00000000,00000051,00000377,00001499,00000031,00004713,00000305,00000701,00000000,00000286,00000000,00000000,00000000,00008060,00000000,00001122,00000000,                                                                                                    
R063,SUTTER AVENUE                 ,00010896,00000751,00000214,00000226,00000006,00008976,00005731,00000000,00000000,00000000,00000002,00000082,00000449,00000001,00000652,00000042,00000180,00000000,00000042,00000000,00000000,00000000,00003706,00000000,00000309,00000000,                                                                                                    
R064,SARATOGA AVENUE               ,00008747,00000576,00000129,00000174,00000000,00006431,00004404,00000000,00000000,00000000,00000004,00000041,00000269,00000001,00000519,00000049,00000063,00000000,00000023,00000000,00000002,00000000,00002807,00000002,00000207,00000000,                                                                                                    
R065,ROCKAWAY AVENUE               ,00007343,00000650,00000143,00000218,00000001,00006141,00003139,00000000,00000000,00000000,00000008,00000026,00000791,00000004,00000447,00000127,00000087,00000000,00000030,00000001,00000000,00000000,00003390,00000000,00000166,00000000,                                                                                                    
R066,JUNIUS STREET                 ,00002913,00000344,00000067,00000095,00000001,00003308,00001687,00000000,00000000,00000000,00000002,00000029,00000152,00000000,00000175,00000007,00000018,00000000,00000018,00000000,00000000,00000000,00001730,00000000,00000104,00000000,                                                                                                    
R067,PENNSYLVANIA AVENUE           ,00006709,00000506,00000138,00000153,00000000,00005590,00002928,00000000,00000000,00000000,00000013,00000031,00000345,00000000,00000424,00000034,00000069,00000000,00000026,00000000,00000000,00000000,00003209,00000000,00000110,00000000,                                                                                                    
R068,VAN SICLEN AVENUE             ,00004918,00000372,00000099,00000091,00000003,00003800,00002279,00000000,00000000,00000000,00000006,00000043,00000272,00000000,00000390,00000024,00000040,00000000,00000014,00000000,00000000,00000000,00001610,00000000,00000101,00000000,                                                                                                    
R069,NEW LOTS AVENUE               ,00007747,00000639,00000179,00000244,00000003,00007836,00004528,00000000,00000000,00000000,00000016,00000027,00000394,00000000,00000657,00000064,00000056,00000000,00000043,00000000,00000000,00000000,00002619,00000000,00000235,00000000,                                                                                                    
R070,ST GEORGE TERMINAL            ,00031376,00001772,00000084,00000404,00000012,00005655,00009761,00000000,00000000,00000000,00000227,00001161,00000194,00000003,00001034,00001984,00000164,00000000,00000075,00000000,00000000,00000000,00003440,00000000,00000179,00000000,                                                                                                    
R072,34TH STREET - HUDSON YARDS    ,00023299,00000696,00000108,00000156,00000106,00010865,00011284,00000000,00000000,00000000,00000126,00000338,00000207,00000054,00001733,00000723,00000356,00000000,00000353,00000000,00000000,00000000,00000490,00000000,00000049,00000000,                                                                                                    
R079,FIFTH AVENUE & 60TH STREET    ,00045172,00002753,00000198,00000508,00000172,00019568,00025420,00000000,00000000,00000000,00000350,00000773,00000531,00000328,00004048,00001659,00000731,00000000,00000805,00000000,00000000,00000000,00000697,00000000,00000164,00000000,                                                                                                    
R080,57TH STREET & 7TH AVENUE      ,00085147,00007375,00000440,00001372,00000164,00040613,00069009,00000000,00000000,00000000,00000387,00001626,00001340,00000256,00010495,00003585,00001930,00000000,00001743,00000000,00000000,00000000,00003080,00000000,00000385,00000000,                                                                                                    
R081,49TH STREET & 7TH AVENUE      ,00063337,00003134,00000264,00000831,00000082,00037556,00043149,00000000,00000000,00000000,00000326,00001338,00000532,00000076,00006930,00002107,00001028,00000000,00001939,00000000,00000000,00000000,00002385,00000000,00000211,00000000,                                                                                                    
R082,28TH STREET & BROADWAY        ,00031595,00001362,00000150,00000376,00000041,00017579,00025749,00000000,00000000,00000000,00000123,00000516,00000355,00000042,00002924,00001043,00000810,00000000,00000803,00000000,00000000,00000000,00000544,00000000,00000065,00000000,                                                                                                    
R083,23RD STREET & 5TH AVENUE      ,00058852,00002805,00000292,00000671,00000141,00029690,00048008,00000000,00000000,00000000,00000502,00001064,00000458,00000115,00005542,00002194,00001349,00000000,00001273,00000001,00000000,00000000,00002352,00000000,00000196,00000000,                                                                                                    
R084,59TH STREET/COLUMBUS CIRCLE   ,00181390,00013931,00000998,00002999,00000646,00094900,00124671,00000000,00000000,00000001,00000504,00002263,00002441,00000862,00014294,00006284,00003497,00000000,00003978,00000000,00000000,00000000,00015123,00000000,00002166,00000000,                                                                                                    
R085,8TH STREET & BROADWAY         ,00044680,00003098,00000173,00000534,00000080,00018940,00035399,00000000,00000000,00000000,00000153,00000744,00000325,00000084,00004556,00001648,00000868,00000000,00001014,00000000,00000000,00000000,00001672,00000000,00000148,00000000,                                                                                                    
R086,PRINCE STREET & BROADWAY      ,00041112,00001416,00000130,00000247,00000042,00023201,00026967,00000000,00000000,00000000,00000185,00000540,00000299,00000061,00003287,00001102,00000762,00000000,00001187,00000000,00000000,00000000,00000822,00000000,00000186,00000000,                                                                                                    
R087,CITY HALL                     ,00015413,00001211,00000085,00000313,00000010,00006956,00011987,00000000,00000000,00000000,00000156,00000306,00000218,00000016,00001356,00000560,00000328,00000000,00000323,00000000,00000000,00000000,00001706,00000000,00000437,00000000,                                                                                                    
R088,CORTLANDT STREET              ,00058763,00001698,00000114,00000348,00000049,00024072,00028083,00000000,00000000,00000000,00000252,00001180,00000525,00000063,00003863,00001744,00000861,00000000,00001632,00000000,00000000,00000000,00001053,00000000,00000412,00000000,                                                                                                    
R089,JAY ST-METROTECH              ,00010371,00000532,00000042,00000108,00000008,00003954,00007473,00000000,00000000,00000000,00000048,00000188,00000123,00000011,00000812,00000428,00000233,00000000,00000212,00000000,00000000,00000000,00000886,00000000,00000075,00000000,                                                                                                    
R090,39TH AVENUE & 31ST STREET     ,00009129,00000631,00000115,00000191,00000008,00008715,00007795,00000000,00000000,00000000,00000027,00000129,00000290,00000010,00000772,00000184,00000193,00000000,00000224,00000000,00000000,00000000,00001023,00000000,00000078,00000000,                                                                                                    
R092,BROADWAY & 31ST STREET        ,00031912,00002315,00000263,00000566,00000015,00016465,00037562,00000000,00000000,00000000,00000026,00000369,00000841,00000021,00004664,00000843,00001243,00000000,00000438,00000000,00000000,00000000,00003969,00000000,00000272,00000000,                                                                                                    
R093,30TH AVENUE & 31ST STREET     ,00000000,00000000,00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,                                                                                                    
R094,ASTORIA BLVD & 31ST STREET    ,00034403,00001825,00000213,00000427,00000013,00019348,00037569,00000000,00000000,00000001,00000022,00000421,00000742,00000023,00004879,00000855,00001126,00000000,00000355,00000000,00000000,00000000,00003125,00000000,00000282,00000000,                                                                                                    
R095,DITMARS BLVD & 31ST STREET    ,00032633,00001931,00000211,00000318,00000021,00016183,00033666,00000000,00000000,00000000,00000025,00000507,00001090,00000012,00004007,00000851,00000878,00000000,00000374,00000000,00000000,00000000,00003882,00000000,00000263,00000000,                                                                                                    
R096,82ND STREET-JACKSON HEIGHTS   ,00030382,00003387,00000469,00000786,00000013,00027693,00021026,00000000,00000000,00000000,00000017,00000154,00001258,00000011,00001321,00000244,00000312,00000000,00000303,00000000,00000000,00000000,00005052,00000000,00000624,00000000,                                                                                                    
R097,JUNCTION BLVD-ROOSEVELT AVE   ,00049336,00001927,00000296,00000609,00000027,00046391,00022090,00000000,00000000,00000000,00000020,00000154,00000895,00000013,00001164,00000169,00000302,00000000,00000220,00000000,00000000,00000000,00008159,00000000,00000754,00000000,                                                                                                    
R098,CHURCH AVENUE                 ,00029891,00002516,00000635,00000841,00000017,00027166,00027738,00000000,00000000,00000000,00000027,00000274,00001012,00000021,00003435,00000288,00000663,00000000,00000281,00000000,00000000,00000000,00006232,00000000,00000714,00000000,                                                                                                    
R099,DEKALB AVENUE                 ,00043646,00002858,00000318,00001281,00000042,00022135,00045536,00000000,00000000,00000000,00000095,00000763,00000700,00000057,00006087,00001610,00001048,00000000,00000591,00000000,00000000,00000000,00011577,00000000,00000476,00000000,                                                                                                    
R100,METROPOLITAN AVENUE           ,00004586,00000291,00000038,00000145,00000000,00002843,00003287,00000000,00000000,00000000,00000008,00000082,00000106,00000000,00000304,00000164,00000038,00000000,00000016,00000000,00000000,00000000,00001487,00000000,00000069,00000000,                                                                                                    
R101,145TH STREET                  ,00039427,00002452,00000436,00000887,00000038,00042042,00048626,00000000,00000000,00000000,00000061,00000245,00001011,00000022,00004571,00000534,00000913,00000000,00000490,00000000,00000000,00000000,00007034,00000000,00000617,00000000,                                                                                                    
R102,125TH STREET                  ,00052275,00003771,00000931,00001500,00000067,00049241,00048194,00000000,00000000,00000000,00000120,00000323,00001597,00000046,00005375,00000902,00001061,00000000,00000857,00000000,00000000,00000000,00008508,00000000,00000660,00000000,                                                                                                    
R103,BROADWAY-EAST NEW YORK        ,00017893,00000970,00000349,00000501,00000021,00019168,00010470,00000000,00000000,00000000,00000020,00000088,00000724,00000007,00001123,00000086,00000146,00000000,00000184,00000000,00000000,00000000,00003309,00000000,00000347,00000000,                                                                                                    
R104,167TH ST-GRAND CONCOURSE      ,00017092,00000888,00000225,00000354,00000002,00022611,00011411,00000000,00000000,00000000,00000006,00000051,00000644,00000005,00001270,00000070,00000164,00000000,00000122,00000000,00000000,00000000,00004355,00000000,00000462,00000000,                                                                                                    
R105,14TH STREET & 7TH AVENUE      ,00050340,00006067,00000470,00001342,00000156,00026584,00038214,00000000,00000000,00000000,00000139,00000905,00000780,00000177,00005217,00002067,00001057,00000000,00000966,00000000,00000000,00000000,00004182,00000000,00000185,00000000,                                                                                                    
R106,CASTLE HILL AVENUE            ,00012844,00000733,00000154,00000194,00000005,00010643,00007562,00000000,00000000,00000000,00000028,00000147,00000446,00000001,00000968,00000099,00000093,00000000,00000054,00000000,00000000,00000000,00003073,00000000,00000257,00000000,                                                                                                    
R107,WESTCHESTER SQUARE            ,00009785,00000750,00000139,00000338,00000004,00008728,00006555,00000000,00000000,00000000,00000077,00000077,00000402,00000005,00000741,00000143,00000078,00000000,00000044,00000000,00000000,00000000,00003280,00000000,00000236,00000000,                                                                                                    
R108,BOROUGH HALL - COURT STREET   ,00080042,00008286,00000685,00001777,00000346,00033288,00060188,00000000,00000000,00000000,00000449,00001108,00001434,00000525,00008499,00002634,00001607,00000000,00000964,00000000,00000000,00000000,00008162,00000000,00001194,00000000,                                                                                                    
R109,CHURCH AVENUE & NOSTRAND AV   ,00017946,00001439,00000342,00000557,00000000,00014646,00010738,00000000,00000000,00000000,00000016,00000118,00000649,00000008,00001498,00000085,00000211,00000000,00000112,00000000,00000000,00000000,00003389,00000000,00000340,00000000,                                                                                                    
R110,FLATBUSH AVE & NOSTRAND AV    ,00032159,00002561,00000785,00001039,00000041,00025950,00025533,00000000,00000000,00000000,00000109,00000395,00000759,00000015,00003433,00000526,00000363,00000000,00000141,00000000,00000000,00000000,00005893,00000000,00000784,00000000,                                                                                                    
