     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,05/26/2018-06/01/2018,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,NICE 2-T,CUNY-120,CUNY-60,                                                                   
R001,WHITEHALL STREET              ,00064637,00002599,00000371,00001087,00000198,00033701,00033252,00000000,00000000,00000000,00000325,00000904,00000934,00000330,00005154,00001799,00000718,00000000,00001735,00000000,00000000,00000000,00002808,00000000,00000099,00000000,                                                                                                    
R003,CYPRESS HILLS                 ,00002903,00000186,00000015,00000030,00000000,00002416,00001149,00000000,00000000,00000000,00000002,00000012,00000103,00000004,00000082,00000023,00000024,00000000,00000017,00000000,00000000,00000000,00000787,00000000,00000021,00000000,                                                                                                    
R004,75TH STREET & ELDERTS LANE    ,00006850,00000420,00000047,00000138,00000002,00004799,00003573,00000000,00000000,00000000,00000002,00000043,00000222,00000001,00000316,00000037,00000025,00000000,00000038,00000000,00000000,00000000,00002563,00000000,00000041,00000000,                                                                                                    
R005,85TH STREET & FOREST PKWAY    ,00008020,00000566,00000050,00000229,00000001,00005239,00004042,00000000,00000000,00000000,00000008,00000048,00000234,00000001,00000277,00000062,00000063,00000000,00000077,00000000,00000000,00000000,00001610,00000000,00000053,00000000,                                                                                                    
R006,WOODHAVEN BOULEVARD           ,00007738,00000517,00000078,00000212,00000001,00007545,00005069,00000000,00000000,00000000,00000010,00000055,00000295,00000007,00000361,00000067,00000070,00000000,00000074,00000000,00000000,00000000,00001708,00000000,00000052,00000000,                                                                                                    
R007,104TH STREET                  ,00004765,00000283,00000020,00000069,00000001,00003366,00002403,00000000,00000000,00000000,00000000,00000043,00000101,00000001,00000161,00000041,00000033,00000000,00000050,00000000,00000000,00000000,00001035,00000000,00000028,00000000,                                                                                                    
R008,111TH STREET                  ,00005517,00000314,00000062,00000101,00000004,00003720,00002501,00000000,00000000,00000000,00000000,00000034,00000148,00000001,00000136,00000060,00000030,00000000,00000053,00000000,00000000,00000000,00001450,00000000,00000029,00000000,                                                                                                    
R009,121ST STREET                  ,00002406,00000185,00000029,00000062,00000001,00001813,00001260,00000000,00000000,00000000,00000000,00000033,00000121,00000000,00000099,00000035,00000018,00000000,00000018,00000000,00000000,00000000,00000300,00000000,00000011,00000000,                                                                                                    
R010,42ND STREET & 8TH AVENUE      ,00090665,00004752,00000408,00001109,00000098,00051575,00045179,00000000,00000000,00000000,00000219,00000825,00001434,00000089,00004971,00001867,00001194,00000000,00003282,00000000,00000000,00000000,00005576,00000000,00000206,00000000,                                                                                                    
R011,42ND STREET & 8TH AVENUE      ,00214852,00010423,00000564,00001586,00000071,00047625,00060791,00000000,00000000,00000000,00000176,00002465,00005112,00000062,00006155,00005571,00001810,00000000,00003620,00000000,00000000,00000000,00002627,00000000,00000160,00000000,                                                                                                    
R012,34TH STREET & 8TH AVENUE      ,00179288,00008072,00000651,00001510,00002457,00042829,00059538,00000000,00000000,00000000,00000458,00001932,00002934,00003328,00007045,00006428,00001640,00000000,00003487,00000000,00000000,00000000,00003228,00000000,00000151,00000000,                                                                                                    
R013,34TH STREET & 8TH AVENUE      ,00045544,00002101,00000287,00000627,00000552,00017036,00024342,00000000,00000000,00000000,00000228,00000736,00000417,00001070,00002840,00001710,00000694,00000000,00001296,00000000,00000000,00000000,00000830,00000000,00000033,00000000,                                                                                                    
R014,FULTON STREET                 ,00161133,00004959,00000528,00001005,00000726,00056508,00072838,00000000,00000000,00000000,00000474,00002366,00001288,00001212,00010851,00004490,00002095,00000000,00003365,00000000,00000000,00000000,00005828,00000000,00000176,00000000,                                                                                                    
R015,FIFTH AVENUE                  ,00064094,00002840,00000168,00000427,00000642,00017211,00026344,00000000,00000000,00000000,00000165,00001724,00000475,00000889,00004345,00003417,00000799,00000000,00001485,00000000,00000000,00000000,00000509,00000000,00000063,00000000,                                                                                                    
R016,LEXINGTON AVENUE              ,00015564,00000777,00000058,00000130,00000059,00005151,00008908,00000000,00000000,00000000,00000079,00000314,00000090,00000086,00001219,00000691,00000258,00000000,00000295,00000000,00000000,00000000,00000241,00000000,00000019,00000000,                                                                                                    
R017,LEXINGTON AVENUE              ,00079144,00004979,00000242,00000785,00000484,00023254,00042845,00000000,00000000,00000000,00000158,00001646,00000832,00000765,00005339,00003557,00001249,00000000,00001750,00000000,00000000,00000000,00003134,00000000,00000094,00000000,                                                                                                    
R018,ROOSEVELT AVE/JACKSON HTS     ,00091558,00007650,00001374,00003443,00000029,00074608,00099776,00000000,00000000,00000000,00000076,00000643,00002353,00000051,00006712,00001044,00001487,00000000,00001328,00000000,00000000,00000000,00009147,00000000,00000672,00000000,                                                                                                    
R019,179TH STREET & HILLSIDE AVE   ,00025883,00001852,00000463,00000952,00000008,00018209,00021433,00000000,00000000,00000000,00000037,00000462,00000912,00000013,00002261,00000408,00000251,00000000,00000125,00000000,00000000,00000000,00003229,00000000,00000232,00000000,                                                                                                    
R020,47-50 STREETS/ROCKEFELLER     ,00099883,00006167,00000362,00001009,00000417,00032515,00060543,00000000,00000000,00000000,00000387,00003048,00001017,00000549,00011276,00004178,00001789,00000000,00001466,00000000,00000000,00000000,00002182,00000000,00000075,00000000,                                                                                                    
R021,42ND STREET & 6TH AVENUE      ,00071366,00003589,00000315,00000806,00000117,00026673,00054088,00000000,00000000,00000000,00000275,00002171,00000591,00000082,00008386,00002742,00001478,00000000,00001032,00000000,00000000,00000000,00001686,00000000,00000090,00000000,                                                                                                    
R022,34TH STREET & 6TH AVENUE      ,00169179,00008981,00000821,00002113,00000596,00075547,00100394,00000000,00000000,00000000,00001080,00002164,00002524,00000652,00012190,00004115,00002202,00000000,00003391,00000000,00000000,00000000,00005039,00000000,00000368,00000000,                                                                                                    
R023,34TH STREET & 6TH AVENUE      ,00121702,00006102,00000542,00001376,00000423,00037855,00069391,00000000,00000000,00000000,00000227,00002379,00001335,00000501,00007711,00004126,00001906,00000000,00001614,00000000,00000000,00000000,00002779,00000000,00000147,00000000,                                                                                                    
R024,SUTPHIN BOULEVARD             ,00045232,00002568,00000437,00000759,00000259,00033978,00020804,00000000,00000000,00000000,00000020,00000299,00001200,00000290,00001943,00000773,00000334,00000000,00012709,00000000,00000000,00000000,00002542,00000000,00000307,00000000,                                                                                                    
R025,JAMAICA CENTER-PARSONS BLVD   ,00044959,00002120,00000875,00001499,00000013,00049950,00028446,00000000,00000000,00000000,00000077,00000302,00001788,00000022,00003895,00000300,00000312,00000000,00000420,00000000,00000000,00000000,00006352,00000000,00000541,00000000,                                                                                                    
R027,WALL STREET                   ,00042309,00001995,00000095,00000359,00000735,00008733,00025558,00000000,00000000,00000000,00000100,00000808,00000224,00001319,00003617,00002031,00000771,00000000,00000521,00000000,00000000,00000000,00001264,00000000,00000013,00000000,                                                                                                    
R028,FULTON & WILLIAM STREETS      ,00054433,00003323,00000298,00000966,00000372,00021044,00037234,00000000,00000000,00000000,00000116,00000851,00000526,00000497,00006294,00001723,00001083,00000000,00001148,00000000,00000000,00000000,00002350,00000000,00000040,00000000,                                                                                                    
R029,PARK PLACE                    ,00117795,00005035,00000401,00001165,00000642,00035771,00053649,00000000,00000000,00000000,00001122,00001929,00001259,00001189,00007794,00003549,00001894,00000000,00002996,00000000,00000001,00000000,00005533,00000000,00000113,00000000,                                                                                                    
R030,CHAMBERS STREET               ,00040078,00002442,00000219,00000573,00000407,00013273,00022385,00000000,00000000,00000000,00000095,00000723,00000435,00000732,00003240,00001664,00000682,00000000,00000707,00000000,00000000,00000000,00008264,00000000,00000054,00000000,                                                                                                    
R031,34TH STREET & 7TH AVENUE      ,00085179,00005059,00000402,00000917,00001048,00028616,00032223,00000000,00000000,00000000,00000244,00001093,00001079,00001937,00004494,00003287,00000971,00000000,00001176,00000000,00000000,00000000,00002581,00000000,00000078,00000000,                                                                                                    
R032,42ND STREET/TIMES SQUARE      ,00087557,00004526,00000355,00001119,00000147,00034913,00063133,00000000,00000000,00000000,00000251,00001691,00000765,00000112,00007506,00003121,00001758,00000000,00001358,00000000,00000000,00000000,00001293,00000000,00000104,00000000,                                                                                                    
R033,42ND STREET/TIMES SQUARE      ,00170421,00008357,00000775,00001800,00000387,00087876,00072351,00000000,00000000,00000000,00000508,00002078,00002939,00000372,00010189,00003883,00001946,00000000,00004287,00000000,00000000,00000000,00005756,00000000,00000382,00000000,                                                                                                    
R034,125TH STREET & BROADWAY       ,00015158,00001393,00000144,00000318,00000025,00009277,00011444,00000000,00000000,00000000,00000024,00000100,00000403,00000028,00001034,00000360,00000250,00000000,00000319,00000000,00000000,00000000,00001906,00000000,00000039,00000000,                                                                                                    
R035,168TH STREET & BROADWAY       ,00060301,00005492,00000664,00001096,00000086,00037923,00045541,00000000,00000000,00000000,00000103,00000476,00002001,00000089,00003982,00001380,00001152,00000000,00000766,00000000,00000000,00000000,00005740,00000000,00000118,00000000,                                                                                                    
R036,DYCKMAN STREET                ,00016377,00001747,00000220,00000413,00000001,00014962,00010355,00000000,00000000,00000000,00000012,00000055,00000954,00000001,00001120,00000128,00000179,00000000,00000180,00000000,00000000,00000000,00003149,00000000,00000060,00000000,                                                                                                    
R037,207TH STREET                  ,00010488,00000969,00000205,00000220,00000001,00014702,00008194,00000000,00000000,00000000,00000020,00000028,00000587,00000007,00000828,00000082,00000112,00000000,00000092,00000000,00000000,00000000,00002288,00000000,00000050,00000000,                                                                                                    
R038,215TH STREET                  ,00003826,00000412,00000040,00000133,00000000,00002326,00003022,00000000,00000000,00000000,00000007,00000040,00000115,00000001,00000293,00000099,00000080,00000000,00000079,00000000,00000000,00000000,00000516,00000000,00000004,00000000,                                                                                                    
R039,225TH STREET                  ,00010768,00000852,00000124,00000155,00000035,00008643,00005676,00000000,00000000,00000000,00000007,00000038,00000413,00000028,00000599,00000125,00000124,00000000,00000082,00000000,00000000,00000000,00002215,00000000,00000033,00000000,                                                                                                    
R040,231ST STREET                  ,00015877,00002012,00000334,00000632,00000010,00013114,00011405,00000000,00000000,00000000,00000074,00000122,00001022,00000008,00001322,00000205,00000180,00000000,00000124,00000000,00000000,00000000,00002259,00000000,00000054,00000000,                                                                                                    
R041,BOWLING GREEN & BATTERY PL    ,00040156,00002276,00000292,00000645,00000446,00017986,00026151,00000000,00000000,00000000,00001341,00000701,00000523,00000717,00004118,00001422,00000609,00000000,00000712,00000000,00000000,00000000,00003025,00000000,00000048,00000000,                                                                                                    
R042,BOWLING GREEN & BROADWAY      ,00009299,00000327,00000040,00000071,00000050,00007276,00004144,00000000,00000000,00000000,00000085,00000107,00000076,00000118,00000537,00000215,00000072,00000000,00000320,00000000,00000000,00000000,00000462,00000000,00000020,00000000,                                                                                                    
R043,WALL STREET                   ,00041691,00002058,00000137,00000345,00000336,00014366,00025390,00000000,00000000,00000000,00000688,00000712,00000300,00000711,00003130,00001476,00000619,00000000,00000723,00000000,00000000,00000000,00001647,00000000,00000021,00000000,                                                                                                    
R044,BROOKLYN BRIDGE               ,00066607,00004445,00000314,00001063,00000193,00028400,00036242,00000000,00000000,00000000,00000267,00000831,00000844,00000578,00004956,00001936,00000893,00000000,00001565,00000000,00000000,00000000,00004511,00000000,00000062,00000000,                                                                                                    
R045,42ND STREET & GRAND CENTRAL   ,00061690,00003588,00000127,00000302,00001169,00010138,00020556,00000000,00000000,00000000,00000157,00000963,00000356,00001733,00002925,00002878,00000714,00000000,00000596,00000000,00000000,00000000,00000635,00000000,00000021,00000000,                                                                                                    
R046,42ND STREET & GRAND CENTRAL   ,00212091,00009627,00000607,00001254,00002183,00058268,00082465,00000000,00000000,00000000,00000534,00002605,00002766,00003151,00011557,00006877,00002393,00000000,00003919,00000000,00000000,00000000,00002282,00000000,00000190,00000000,                                                                                                    
R047,42ND STREET & GRAND CENTRAL   ,00084927,00004511,00000270,00000714,00000773,00025278,00053459,00000000,00000000,00000000,00000342,00001782,00000403,00001409,00008096,00003744,00001364,00000000,00001147,00000000,00000000,00000000,00001357,00000000,00000082,00000000,                                                                                                    
R048,42ND STREET & 3RD AVENUE      ,00027485,00001292,00000055,00000237,00000286,00006879,00017247,00000000,00000000,00000000,00000052,00000551,00000118,00000309,00001720,00001255,00000405,00000000,00000309,00000000,00000000,00000000,00000380,00000000,00000019,00000000,                                                                                                    
R049,51ST STREET & LEXINGTON AVE   ,00047597,00002522,00000175,00000481,00000065,00019965,00026276,00000000,00000000,00000000,00000188,00000994,00000352,00000090,00004324,00001603,00000629,00000000,00001193,00000000,00000000,00000000,00000776,00000000,00000048,00000000,                                                                                                    
R050,59TH STREET & LEXINGTON AVE   ,00046557,00003430,00000259,00000668,00000178,00020141,00031027,00000000,00000000,00000000,00000262,00001008,00000536,00000297,00004385,00001911,00000851,00000000,00000770,00000000,00000000,00000000,00001409,00000000,00000051,00000000,                                                                                                    
R051,59TH STREET & LEXINGTON AVE   ,00058923,00004627,00000371,00000923,00000100,00035413,00043903,00000000,00000000,00000000,00000221,00000989,00000565,00000174,00005736,00001804,00001080,00000000,00000761,00000000,00000000,00000000,00003202,00000000,00000127,00000000,                                                                                                    
R052,WOODLAWN ROAD                 ,00009406,00000622,00000234,00000396,00000013,00009524,00005421,00000000,00000000,00000000,00000025,00000060,00000668,00000004,00000607,00000082,00000040,00000000,00000067,00000000,00000000,00000000,00000969,00000000,00000032,00000000,                                                                                                    
R053,149TH STREET & 3RD AVENUE     ,00034478,00002078,00000647,00000936,00000013,00041297,00019366,00000000,00000000,00000000,00000032,00000159,00001480,00000004,00002721,00000157,00000208,00000000,00000196,00000000,00000000,00000000,00007314,00000000,00000195,00000000,                                                                                                    
