     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,05/05/2018-05/11/2018,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,NICE 2-T,CUNY-120,CUNY-60,                                                                   
R001,WHITEHALL STREET              ,00065536,00003022,00000465,00001201,00000305,00037676,00040096,00000000,00000000,00000000,00000486,00001057,00000979,00000472,00006526,00002091,00000821,00000000,00001765,00000000,00000000,00000000,00003409,00000000,00000663,00000000,                                                                                                    
R003,CYPRESS HILLS                 ,00003021,00000225,00000025,00000035,00000001,00002725,00001330,00000000,00000000,00000000,00000004,00000023,00000101,00000005,00000096,00000025,00000029,00000000,00000028,00000000,00000000,00000000,00000949,00000000,00000072,00000000,                                                                                                    
R004,75TH STREET & ELDERTS LANE    ,00007443,00000483,00000054,00000137,00000002,00005373,00003982,00000000,00000000,00000000,00000000,00000071,00000258,00000000,00000353,00000056,00000040,00000000,00000078,00000000,00000000,00000000,00003425,00000000,00000112,00000000,                                                                                                    
R005,85TH STREET & FOREST PKWAY    ,00008282,00000611,00000065,00000253,00000000,00006016,00004643,00000000,00000000,00000000,00000010,00000067,00000275,00000001,00000325,00000085,00000077,00000000,00000063,00000000,00000000,00000000,00001935,00000000,00000219,00000000,                                                                                                    
R006,WOODHAVEN BOULEVARD           ,00008611,00000629,00000070,00000231,00000002,00008458,00005368,00000000,00000000,00000000,00000014,00000074,00000254,00000007,00000404,00000105,00000080,00000000,00000084,00000000,00000000,00000000,00002104,00000000,00000194,00000000,                                                                                                    
R007,104TH STREET                  ,00005172,00000309,00000020,00000081,00000002,00003792,00002640,00000000,00000000,00000000,00000001,00000039,00000120,00000004,00000144,00000054,00000017,00000000,00000050,00000000,00000000,00000000,00001272,00000000,00000093,00000000,                                                                                                    
R008,111TH STREET                  ,00005994,00000348,00000065,00000091,00000004,00004248,00002692,00000000,00000000,00000000,00000002,00000038,00000165,00000000,00000169,00000062,00000033,00000000,00000050,00000000,00000000,00000000,00001873,00000000,00000114,00000000,                                                                                                    
R009,121ST STREET                  ,00002661,00000189,00000014,00000061,00000001,00001995,00001332,00000000,00000000,00000000,00000001,00000032,00000090,00000001,00000119,00000042,00000018,00000000,00000023,00000000,00000000,00000000,00000359,00000000,00000037,00000000,                                                                                                    
R010,42ND STREET & 8TH AVENUE      ,00088789,00005061,00000476,00001181,00000146,00055010,00050430,00000000,00000000,00000000,00000311,00000928,00001259,00000122,00005511,00002148,00001376,00000000,00003242,00000000,00000000,00000000,00006963,00000000,00000469,00000000,                                                                                                    
R011,42ND STREET & 8TH AVENUE      ,00232731,00011273,00000672,00001811,00000104,00052650,00067595,00000000,00000000,00000000,00000199,00002913,00005438,00000077,00006930,00006782,00001982,00000000,00003361,00000000,00000000,00000000,00002821,00000000,00000414,00000000,                                                                                                    
R012,34TH STREET & 8TH AVENUE      ,00195087,00009309,00000727,00001542,00003823,00046716,00066376,00000000,00000000,00000000,00000694,00002340,00002974,00004227,00007349,00007848,00001975,00000000,00003712,00000000,00000000,00000000,00003331,00000000,00000521,00000000,                                                                                                    
R013,34TH STREET & 8TH AVENUE      ,00051513,00002403,00000267,00000700,00000863,00021211,00029837,00000000,00000000,00000000,00000303,00000863,00000471,00001394,00003378,00002145,00000858,00000000,00001346,00000000,00000000,00000000,00001038,00000000,00000247,00000000,                                                                                                    
R014,FULTON STREET                 ,00182826,00006003,00000561,00001254,00001040,00068736,00088836,00000000,00000000,00000000,00000663,00003000,00001455,00001572,00013541,00005555,00002581,00000000,00003835,00000000,00000000,00000000,00006811,00000000,00001702,00000000,                                                                                                    
R015,FIFTH AVENUE                  ,00072036,00003249,00000181,00000494,00000918,00018768,00030952,00000000,00000000,00000000,00000258,00002089,00000445,00001122,00005233,00004145,00000982,00000000,00001507,00000000,00000000,00000000,00000540,00000000,00000187,00000000,                                                                                                    
R016,LEXINGTON AVENUE              ,00017396,00001003,00000063,00000175,00000094,00006034,00010564,00000000,00000000,00000000,00000088,00000373,00000130,00000119,00001446,00000830,00000305,00000000,00000278,00000000,00000000,00000000,00000311,00000000,00000053,00000000,                                                                                                    
R017,LEXINGTON AVENUE              ,00090707,00006107,00000330,00000989,00000723,00027002,00050997,00000000,00000000,00000000,00000212,00002016,00001044,00000959,00006609,00004398,00001574,00000000,00001654,00000000,00000000,00000000,00004140,00000000,00000219,00000000,                                                                                                    
R018,ROOSEVELT AVE/JACKSON HTS     ,00090546,00008559,00001386,00003565,00000032,00077109,00101087,00000000,00000000,00000000,00000090,00000662,00002554,00000045,00007039,00001106,00001482,00000000,00001179,00000000,00000000,00000000,00010235,00000000,00001472,00000000,                                                                                                    
R019,179TH STREET & HILLSIDE AVE   ,00030358,00002281,00000497,00001046,00000011,00021784,00026571,00000000,00000000,00000000,00000045,00000654,00000935,00000014,00002833,00000545,00000302,00000000,00000170,00000000,00000000,00000000,00003995,00000000,00000721,00000000,                                                                                                    
R020,47-50 STREETS/ROCKEFELLER     ,00141498,00008770,00000623,00001509,00000629,00058955,00086985,00000000,00000000,00000000,00000592,00004094,00001464,00000665,00015683,00005602,00002435,00000000,00002684,00000000,00000000,00000000,00002614,00000000,00000361,00000000,                                                                                                    
R021,42ND STREET & 6TH AVENUE      ,00095399,00005177,00000443,00001274,00000153,00043155,00074170,00000000,00000000,00000000,00000458,00002848,00000909,00000122,00011625,00003551,00002043,00000000,00001785,00000000,00000000,00000000,00002144,00000000,00000418,00000000,                                                                                                    
R022,34TH STREET & 6TH AVENUE      ,00187599,00010794,00000968,00002476,00000842,00093488,00120925,00000000,00000000,00000000,00001614,00002803,00002810,00000826,00014845,00005180,00002829,00000000,00003832,00000000,00000000,00000000,00004984,00000000,00000909,00000000,                                                                                                    
R023,34TH STREET & 6TH AVENUE      ,00140983,00007465,00000691,00001688,00000578,00047699,00084788,00000000,00000000,00000000,00000269,00002853,00001622,00000650,00009358,00005088,00002317,00000000,00001890,00000001,00000000,00000000,00002864,00000000,00000438,00000000,                                                                                                    
R024,SUTPHIN BOULEVARD             ,00044691,00002825,00000445,00000786,00000377,00038127,00021784,00000000,00000000,00000000,00000036,00000260,00001409,00000384,00002033,00000817,00000271,00000000,00012719,00000000,00000000,00000000,00003026,00000000,00000699,00000000,                                                                                                    
R025,JAMAICA CENTER-PARSONS BLVD   ,00050907,00002474,00000975,00001772,00000025,00059940,00035165,00000000,00000000,00000000,00000066,00000346,00001932,00000020,00004793,00000684,00000380,00000000,00000458,00000000,00000000,00000000,00007920,00000000,00001751,00000000,                                                                                                    
R027,WALL STREET                   ,00053823,00002940,00000136,00000473,00001283,00012741,00034396,00000000,00000000,00000000,00000153,00001149,00000297,00001822,00005121,00002613,00000982,00000000,00000621,00000000,00000000,00000000,00001521,00000000,00000068,00000000,                                                                                                    
R028,FULTON & WILLIAM STREETS      ,00064415,00004091,00000357,00001069,00000523,00025835,00046241,00000000,00000000,00000000,00000154,00001012,00000620,00000583,00007829,00002122,00001239,00000000,00001381,00000000,00000000,00000000,00002956,00000000,00000241,00000000,                                                                                                    
R029,PARK PLACE                    ,00134579,00006516,00000490,00001477,00000978,00046711,00070705,00000000,00000000,00000000,00001611,00002391,00001529,00001519,00009881,00004433,00002304,00000000,00003010,00000000,00000000,00000000,00007047,00000000,00005186,00000000,                                                                                                    
R030,CHAMBERS STREET               ,00048188,00003661,00000273,00000727,00000645,00018474,00030253,00000000,00000000,00000000,00000158,00000919,00000571,00000927,00004214,00002109,00000961,00000000,00000628,00000000,00000000,00000000,00010384,00000000,00003848,00000000,                                                                                                    
R031,34TH STREET & 7TH AVENUE      ,00093071,00006040,00000447,00001030,00001798,00029702,00036827,00000000,00000000,00000001,00000301,00001348,00001176,00002682,00005247,00003964,00001160,00000000,00001223,00000000,00000000,00000000,00002704,00000000,00000400,00000000,                                                                                                    
R032,42ND STREET/TIMES SQUARE      ,00093995,00005359,00000388,00001206,00000150,00038696,00073028,00000000,00000000,00000000,00000388,00002071,00000795,00000147,00009119,00003725,00002157,00000000,00001216,00000000,00000000,00000000,00001509,00000000,00000261,00000000,                                                                                                    
R033,42ND STREET/TIMES SQUARE      ,00164339,00009110,00000792,00001816,00000494,00091842,00077498,00000000,00000000,00000000,00000658,00002375,00002921,00000465,00012003,00004346,00002183,00000000,00004161,00000000,00000000,00000000,00006455,00000000,00000909,00000000,                                                                                                    
