     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,05/12/2018-05/18/2018,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,NICE 2-T,CUNY-120,CUNY-60,                                                                   
R001,WHITEHALL STREET              ,00063815,00002746,00000406,00001212,00000295,00033860,00038765,00000000,00000001,00000000,00000425,00001070,00000831,00000411,00006536,00002206,00000832,00000000,00001521,00000000,00000000,00000000,00003284,00000000,00000590,00000000,                                                                                                    
R003,CYPRESS HILLS                 ,00003045,00000217,00000022,00000032,00000000,00002667,00001297,00000000,00000000,00000000,00000002,00000017,00000093,00000009,00000098,00000015,00000029,00000000,00000022,00000000,00000000,00000000,00000941,00000000,00000078,00000000,                                                                                                    
R004,75TH STREET & ELDERTS LANE    ,00007317,00000484,00000043,00000140,00000001,00005249,00003866,00000000,00000000,00000000,00000000,00000064,00000249,00000001,00000321,00000043,00000041,00000000,00000073,00000000,00000000,00000000,00003226,00000000,00000087,00000000,                                                                                                    
R005,85TH STREET & FOREST PKWAY    ,00008393,00000645,00000066,00000249,00000000,00005801,00004532,00000000,00000000,00000000,00000006,00000068,00000203,00000001,00000323,00000076,00000073,00000000,00000059,00000000,00000000,00000000,00001863,00000000,00000195,00000000,                                                                                                    
R006,WOODHAVEN BOULEVARD           ,00008364,00000599,00000071,00000220,00000001,00008071,00005250,00000000,00000000,00000000,00000012,00000075,00000280,00000010,00000384,00000091,00000088,00000000,00000095,00000000,00000000,00000000,00002071,00000000,00000163,00000000,                                                                                                    
R007,104TH STREET                  ,00005143,00000280,00000015,00000072,00000002,00003693,00002650,00000000,00000000,00000000,00000003,00000038,00000089,00000003,00000169,00000039,00000026,00000000,00000049,00000000,00000000,00000000,00001243,00000000,00000092,00000000,                                                                                                    
R008,111TH STREET                  ,00005743,00000321,00000068,00000099,00000003,00004109,00002562,00000000,00000000,00000000,00000000,00000046,00000127,00000001,00000162,00000059,00000033,00000000,00000040,00000000,00000000,00000000,00001811,00000000,00000098,00000000,                                                                                                    
R009,121ST STREET                  ,00002482,00000174,00000021,00000053,00000001,00002020,00001352,00000000,00000000,00000000,00000001,00000042,00000131,00000000,00000096,00000032,00000019,00000000,00000016,00000000,00000000,00000000,00000345,00000000,00000034,00000000,                                                                                                    
R010,42ND STREET & 8TH AVENUE      ,00089747,00005056,00000456,00001138,00000168,00051000,00048609,00000000,00000000,00000000,00000282,00000915,00001315,00000110,00005327,00002195,00001318,00000000,00003024,00000000,00000000,00000000,00007122,00000000,00000439,00000000,                                                                                                    
R011,42ND STREET & 8TH AVENUE      ,00243770,00011389,00000604,00001839,00000104,00051696,00069036,00000000,00000000,00000000,00000172,00002970,00005181,00000077,00007140,00007117,00002037,00000000,00003563,00000000,00000000,00000000,00003053,00000000,00000389,00000000,                                                                                                    
R012,34TH STREET & 8TH AVENUE      ,00204168,00009186,00000635,00001498,00003388,00045968,00067168,00000000,00000000,00000000,00000694,00002464,00003016,00004295,00007920,00008263,00001996,00000000,00003906,00000000,00000000,00000000,00003322,00000000,00000472,00000000,                                                                                                    
R013,34TH STREET & 8TH AVENUE      ,00052040,00002424,00000289,00000692,00000756,00019566,00029181,00000000,00000000,00000000,00000287,00000900,00000490,00001370,00003386,00002205,00000930,00000000,00001301,00000000,00000000,00000000,00001026,00000000,00000180,00000000,                                                                                                    
R014,FULTON STREET                 ,00178059,00005695,00000486,00001146,00000940,00064336,00086879,00000001,00000000,00000000,00000649,00002855,00001216,00001545,00013667,00005560,00002528,00000000,00003741,00000000,00000000,00000000,00006661,00000000,00001559,00000000,                                                                                                    
R015,FIFTH AVENUE                  ,00079016,00003456,00000138,00000489,00000887,00018955,00031901,00000000,00000000,00000000,00000278,00002132,00000493,00001130,00005378,00004425,00001022,00000000,00001669,00000000,00000000,00000000,00000493,00000000,00000179,00000000,                                                                                                    
R016,LEXINGTON AVENUE              ,00019061,00000992,00000065,00000166,00000080,00006086,00010791,00000000,00000000,00000000,00000085,00000412,00000110,00000102,00001538,00000929,00000276,00000000,00000254,00000000,00000000,00000000,00000325,00000000,00000074,00000000,                                                                                                    
R017,LEXINGTON AVENUE              ,00095157,00006193,00000299,00000991,00000663,00026915,00051237,00000000,00000000,00000000,00000219,00002087,00001033,00000973,00006930,00004565,00001547,00000000,00001840,00000000,00000000,00000000,00004386,00000000,00000208,00000000,                                                                                                    
R018,ROOSEVELT AVE/JACKSON HTS     ,00088572,00007797,00001401,00003412,00000042,00075946,00098860,00000000,00000001,00000000,00000074,00000674,00002289,00000043,00007024,00001118,00001492,00000000,00001187,00000000,00000000,00000000,00009978,00000000,00001416,00000000,                                                                                                    
R019,179TH STREET & HILLSIDE AVE   ,00029494,00002192,00000468,00001073,00000016,00021493,00025764,00000000,00000000,00000000,00000044,00000621,00000904,00000013,00002863,00000577,00000281,00000000,00000176,00000000,00000000,00000000,00004229,00000000,00000647,00000000,                                                                                                    
R020,47-50 STREETS/ROCKEFELLER     ,00151941,00008726,00000532,00001526,00000704,00054983,00086675,00000000,00000000,00000000,00000579,00004164,00001463,00000714,00016009,00006213,00002577,00000000,00002804,00000000,00000000,00000000,00002570,00000000,00000330,00000000,                                                                                                    
R021,42ND STREET & 6TH AVENUE      ,00093692,00004622,00000447,00001119,00000154,00039397,00069721,00000000,00000000,00000001,00000409,00002837,00000796,00000106,00010949,00003691,00002007,00000000,00001733,00000000,00000000,00000000,00002158,00000000,00000341,00000000,                                                                                                    
R022,34TH STREET & 6TH AVENUE      ,00183117,00009446,00000874,00002274,00000840,00088425,00115605,00000001,00000000,00000000,00001566,00002731,00002350,00000784,00014727,00005060,00002658,00000000,00003855,00000000,00000000,00000000,00005074,00000000,00000890,00000000,                                                                                                    
R023,34TH STREET & 6TH AVENUE      ,00144795,00007190,00000578,00001544,00000592,00046161,00082821,00000000,00000000,00000000,00000313,00002893,00001573,00000660,00009450,00005160,00002294,00000000,00001937,00000000,00000000,00000000,00002848,00000000,00000432,00000000,                                                                                                    
R024,SUTPHIN BOULEVARD             ,00045534,00002696,00000444,00000798,00000338,00037030,00021672,00000000,00000000,00000000,00000037,00000275,00001286,00000401,00001957,00000807,00000295,00000000,00013281,00000000,00000000,00000000,00002967,00000000,00000658,00000000,                                                                                                    
