     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,06/02/2018-06/08/2018,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,NICE 2-T,CUNY-120,CUNY-60,                                                                   
R001,WHITEHALL STREET              ,00069003,00002957,00000526,00001178,00000307,00034722,00040368,00000000,00000000,00000000,00000456,00001141,00001110,00000396,00006597,00002173,00000788,00000000,00001705,00000000,00000000,00000000,00002972,00000000,00000070,00000000,                                                                                                    
R003,CYPRESS HILLS                 ,00003179,00000226,00000026,00000034,00000000,00002505,00001299,00000000,00000000,00000000,00000000,00000011,00000097,00000005,00000086,00000029,00000029,00000000,00000019,00000000,00000000,00000000,00000819,00000000,00000019,00000000,                                                                                                    
R004,75TH STREET & ELDERTS LANE    ,00007732,00000500,00000048,00000146,00000003,00005246,00003889,00000000,00000000,00000000,00000004,00000070,00000242,00000000,00000368,00000046,00000045,00000000,00000049,00000000,00000000,00000000,00002578,00000000,00000034,00000000,                                                                                                    
R005,85TH STREET & FOREST PKWAY    ,00008658,00000690,00000053,00000223,00000001,00005907,00004558,00000000,00000000,00000000,00000003,00000063,00000301,00000002,00000310,00000059,00000063,00000000,00000074,00000000,00000000,00000000,00001612,00000000,00000041,00000000,                                                                                                    
R006,WOODHAVEN BOULEVARD           ,00008658,00000623,00000067,00000204,00000002,00008190,00005417,00000000,00000000,00000000,00000012,00000075,00000296,00000008,00000383,00000090,00000077,00000000,00000109,00000000,00000000,00000000,00001742,00000000,00000038,00000000,                                                                                                    
R007,104TH STREET                  ,00005398,00000262,00000017,00000075,00000000,00003693,00002606,00000000,00000000,00000000,00000002,00000040,00000137,00000005,00000139,00000049,00000031,00000000,00000046,00000000,00000000,00000000,00000972,00000000,00000017,00000000,                                                                                                    
R008,111TH STREET                  ,00006146,00000333,00000058,00000118,00000000,00004145,00002650,00000000,00000000,00000000,00000002,00000035,00000218,00000001,00000166,00000077,00000034,00000000,00000071,00000000,00000000,00000000,00001400,00000000,00000022,00000000,                                                                                                    
R009,121ST STREET                  ,00002614,00000191,00000009,00000064,00000001,00001921,00001371,00000000,00000000,00000000,00000000,00000041,00000114,00000000,00000107,00000028,00000015,00000000,00000025,00000000,00000000,00000000,00000352,00000000,00000003,00000000,                                                                                                    
R010,42ND STREET & 8TH AVENUE      ,00091885,00005197,00000512,00001125,00000172,00052560,00049729,00000000,00000000,00000000,00000305,00000896,00001411,00000108,00005356,00002123,00001296,00000000,00002858,00000000,00000000,00000000,00006358,00000000,00000108,00000000,                                                                                                    
R011,42ND STREET & 8TH AVENUE      ,00237683,00011428,00000648,00001761,00000097,00048768,00066626,00000000,00000000,00000000,00000184,00002939,00005387,00000068,00006940,00006837,00001949,00000000,00003401,00000000,00000000,00000000,00002708,00000000,00000125,00000000,                                                                                                    
R012,34TH STREET & 8TH AVENUE      ,00198529,00008953,00000791,00001606,00003901,00044984,00065419,00000000,00000000,00000000,00000692,00002319,00003214,00004152,00007364,00007749,00001819,00000000,00003441,00000000,00000000,00000000,00003103,00000000,00000068,00000000,                                                                                                    
